species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory,presencia
Puma concolor,3.537326,-72.440003,2011.0,0,0,0,75,0,0,1
Puma concolor,4.029,-71.946,2011.0,0,0,0,30,0,0,1
Puma concolor,3.537326,-72.440003,2011.0,0,0,0,75,0,0,1
Panthera onca,3.69696,-73.153653,2011.0,0,0,0,4,0,1,1
Puma concolor,3.531515,-73.402054,2011.0,0,0,0,80,0,0,1
Puma concolor,4.076992,-72.820701,2011.0,0,0,0,108,0,0,1
Puma concolor,3.624423,-73.149157,2011.0,0,0,0,10,0,0,1
Puma concolor,3.934555,-72.337708,2011.0,0,0,0,88,0,0,1
Puma concolor,3.810341,-72.608264,2011.0,0,0,0,90,0,0,1
Puma concolor,4.163745,-72.358803,2011.0,0,0,0,36,0,0,1
Puma concolor,4.167199,-73.69354,2011.0,0,0,0,6,0,0,1
Panthera onca,3.537326,-72.440003,2011.0,0,0,0,75,0,1,1
Puma concolor,3.977191,-72.693092,2011.0,0,0,0,106,0,0,1
Panthera onca,3.570986,-73.457907,2011.0,0,0,0,45,0,1,1
Puma concolor,3.561544,-72.672695,2011.0,0,0,0,73,0,0,1
Panthera onca,3.537326,-72.440003,2011.0,0,0,0,75,0,1,1
Puma concolor,3.536348,-73.425311,2011.0,0,0,0,82,0,0,1
Puma concolor,3.91304,-72.661679,2011.0,0,0,0,87,0,0,1
Puma concolor,4.15,-73.6,2011.0,0,0,0,102,0,0,1
Puma concolor,3.27006,-72.903524,2011.0,0,0,0,2,0,0,1
Puma concolor,3.537326,-72.440003,2011.0,0,0,0,75,0,0,1
Puma concolor,4.055088,-72.885436,2011.0,0,0,0,60,0,0,1
Puma concolor,4.03722,-72.162993,2011.0,0,0,0,89,0,0,1
Panthera onca,4.017353,-72.945979,2011.0,0,0,0,64,0,1,1
Puma concolor,4.066542,-72.302238,2011.0,0,0,0,38,0,0,1
Puma concolor,3.857307,-72.726225,2011.0,0,0,0,31,0,0,1
Puma concolor,3.80518,-72.721431,2011.0,0,0,0,14,0,0,1
Puma concolor,4.190973,-72.431705,2011.0,0,0,0,46,0,0,1
Puma concolor,3.775014,-72.513023,2011.0,0,0,0,15,0,0,1
Puma concolor,3.775014,-72.513023,2011.0,0,0,0,26,0,0,1
Panthera onca,3.824689,-72.542453,2011.0,0,0,0,49,0,1,1
Puma concolor,4.05139,-72.899301,2011.0,0,0,0,59,0,0,1
Puma concolor,4.020962,-72.943035,2011.0,0,0,0,63,0,0,1
Puma concolor,4.119642,-72.688989,2011.0,0,0,0,33,0,0,1
Panthera onca,4.03722,-72.162993,2011.0,0,0,0,89,0,1,1
Panthera onca,4.15745,-73.699844,2011.0,0,0,0,5,0,1,1
Puma concolor,3.585992,-73.340756,2011.0,0,0,0,79,0,0,1
Panthera onca,4.167199,-73.69354,2011.0,0,0,0,6,0,1,1
Puma concolor,3.470651,-72.544368,2011.0,0,0,0,93,0,0,1
Puma concolor,3.503398,-73.369891,2011.0,0,0,0,78,0,0,1
Puma concolor,3.507912,-73.355124,2011.0,0,0,0,81,0,0,1
Puma concolor,3.924213,-72.506069,2011.0,0,0,0,91,0,0,1
Puma concolor,4.096175,-72.820388,2011.0,0,0,0,107,0,0,1
Panthera onca,3.531515,-73.402054,2011.0,0,0,0,80,0,1,1
Puma concolor,3.531515,-73.402054,2011.0,0,0,0,80,0,0,1
Panthera onca,3.531515,-73.402054,2011.0,0,0,0,80,0,1,1
Panthera onca,3.810341,-72.608264,2011.0,0,0,0,90,0,1,1
Puma concolor,3.531515,-73.402054,2011.0,0,0,0,80,0,0,1
Panthera onca,4.09235,-72.803689,2011.0,0,0,0,109,0,1,1
Puma concolor,3.512539,-72.798202,2011.0,0,0,0,74,0,0,1
Puma concolor,3.452407,-72.511963,2011.0,0,0,0,95,0,0,1
Puma concolor,4.15745,-73.699844,2011.0,0,0,0,5,0,0,1
Panthera onca,3.531515,-73.402054,2011.0,0,0,0,80,0,1,1
Puma concolor,3.994097,-72.846443,2011.0,0,0,0,13,0,0,1
Puma concolor,4.167054,-72.335192,2011.0,0,0,0,43,0,0,1
Puma concolor,3.824689,-72.542453,2011.0,0,0,0,49,0,0,1
Puma concolor,3.745701,-72.429626,2011.0,0,0,0,23,0,0,1
Puma concolor,4.167054,-72.335192,2011.0,0,0,0,43,0,0,1
Puma concolor,3.755974,-72.477901,2011.0,0,0,0,16,0,0,1
Panthera onca,3.841915,-72.63201,2011.0,0,0,0,53,0,1,1
Puma concolor,3.824689,-72.542453,2011.0,0,0,0,49,0,0,1
Puma concolor,4.0204,-72.942496,2011.0,0,0,0,63,0,0,1
Puma concolor,3.705405,-72.418407,2011.0,0,0,0,18,0,0,1
Puma concolor,4.044013,-72.885411,2011.0,0,0,0,62,0,0,1
Puma concolor,3.820359,-72.977099,2011.0,0,0,0,52,0,0,1
Puma concolor,4.017353,-72.945979,2011.0,0,0,0,64,0,0,1
Puma concolor,4.027546,-72.863109,2011.0,0,0,0,61,0,0,1
Puma concolor,3.824689,-72.542453,2011.0,0,0,0,49,0,0,1
Puma concolor,4.135297,-72.289803,2011.0,0,0,0,40,0,0,1
Panthera onca,4.198196,-72.445877,2011.0,0,0,0,101,0,1,1
Puma concolor,4.007995,-72.913772,2011.0,0,0,0,64,0,0,1
Puma concolor,3.858002,-72.504239,2011.0,0,0,0,48,0,0,1
Puma concolor,4.164615,-72.343652,2011.0,0,0,0,44,0,0,1
Puma concolor,3.841915,-72.63201,2011.0,0,0,0,53,0,0,1
Puma concolor,3.714567,-72.417868,2011.0,0,0,0,22,0,0,1
Panthera onca,4.190973,-72.431705,2011.0,0,0,0,46,0,1,1
Puma concolor,4.032437,-72.936596,2011.0,0,0,0,63,0,0,1
Puma concolor,4.025083,-72.885802,2011.0,0,0,0,57,0,0,1
Panthera onca,3.899235,-71.931156,2011.0,0,0,0,55,0,1,1
Panthera onca,3.621519,-73.900875,2011.0,0,0,0,99,0,1,1
Panthera onca,3.634763,-71.761631,2011.0,0,0,0,76,0,1,1
Puma concolor,4.114151,-71.989724,2011.0,0,0,0,100,0,0,1
Puma concolor,4.633628,-71.562081,2011.0,0,0,0,70,0,0,1
Puma concolor,3.621519,-73.900875,2011.0,0,0,0,99,0,0,1
Panthera onca,3.485469,-71.373363,2011.0,0,0,0,77,0,1,1
Panthera onca,3.485469,-71.373363,2011.0,0,0,0,77,0,1,1
Panthera onca,3.615064,-73.89639,2011.0,0,0,0,99,0,1,1
Panthera onca,3.899235,-71.931156,2011.0,0,0,0,55,0,1,1
Puma concolor,4.563219,-71.655472,2011.0,0,0,0,86,0,0,1
Puma concolor,4.606237,-71.620804,2011.0,0,0,0,83,0,0,1
Puma concolor,4.606237,-71.620804,2011.0,0,0,0,72,0,0,1
Puma concolor,4.17334,-72.075761,2011.0,0,0,0,103,0,0,1
Puma concolor,3.686575,-72.282084,2011.0,0,0,0,11,0,0,1
Panthera onca,3.634763,-71.761631,2011.0,0,0,0,76,0,1,1
Panthera onca,4.563219,-71.655472,2011.0,0,0,0,86,0,1,1
Puma concolor,4.633628,-71.562081,2011.0,0,0,0,70,0,0,1
Puma concolor,4.369577,-72.04922,2011.0,0,0,0,65,0,0,1
Puma concolor,3.615064,-73.89639,2011.0,0,0,0,99,0,0,1
Panthera onca,3.621519,-73.900875,2011.0,0,0,0,99,0,1,1
Panthera onca,3.485469,-71.373363,2011.0,0,0,0,77,0,1,1
Puma concolor,4.543956,-71.549171,2011.0,0,0,0,68,0,0,1
Puma concolor,4.476988,-71.711632,2011.0,0,0,0,67,0,0,1
Panthera onca,4.592994,-71.621656,2011.0,0,0,0,84,0,1,1
Puma concolor,3.570986,-73.457907,2011.0,0,0,0,45,0,0,1
Panthera onca,3.624423,-73.149157,2011.0,0,0,0,10,0,1,1
Puma concolor,4.09235,-72.803689,2011.0,0,0,0,109,0,0,1
Puma concolor,3.50019,-72.450278,2011.0,0,0,0,94,0,0,1
Puma concolor,4.171104,-73.654799,2011.0,0,0,0,96,0,0,1
Panthera onca,3.679461,-73.637869,2011.0,0,0,0,47,0,1,1
Puma concolor,3.512539,-72.798202,2011.0,0,0,0,74,0,0,1
Puma concolor,4.111591,-72.827936,2011.0,0,0,0,110,0,0,1
Panthera onca,3.536348,-73.425311,2011.0,0,0,0,82,0,1,1
Puma concolor,3.679461,-73.637869,2011.0,0,0,0,47,0,0,1
Panthera onca,3.433742,-72.942968,2011.0,0,0,0,3,0,1,1
Panthera onca,3.531515,-73.402054,2011.0,0,0,0,80,0,1,1
Panthera onca,3.50019,-72.450278,2011.0,0,0,0,94,0,1,1
Panthera onca,3.369002,-72.627905,2011.0,0,0,0,92,0,1,1
Puma concolor,3.369002,-72.627905,2011.0,0,0,0,92,0,0,1
Puma concolor,3.531515,-73.402054,2011.0,0,0,0,80,0,0,1
Puma concolor,3.739762,-73.662517,2011.0,0,0,0,0,0,0,1
Puma concolor,3.69696,-73.153653,2011.0,0,0,0,4,0,0,1
Puma concolor,4.010608,-72.689038,2011.0,0,0,0,105,0,0,1
Puma concolor,4.111591,-72.827936,2011.0,0,0,0,110,0,0,1
Panthera onca,3.452407,-72.511963,2011.0,0,0,0,95,0,1,1
Puma concolor,3.770915,-72.462949,2011.0,0,0,0,29,0,0,1
Puma concolor,3.824689,-72.542453,2011.0,0,0,0,49,0,0,1
Puma concolor,4.119642,-72.688989,2011.0,0,0,0,33,0,0,1
Panthera onca,4.190973,-72.431705,2011.0,0,0,0,46,0,1,1
Puma concolor,4.006405,-72.903459,2011.0,0,0,0,64,0,0,1
Puma concolor,4.119642,-72.688989,2011.0,0,0,0,33,0,0,1
Puma concolor,4.119344,-72.685758,2011.0,0,0,0,34,0,0,1
Puma concolor,4.002314,-72.863238,2011.0,0,0,0,58,0,0,1
Panthera onca,3.824689,-72.542453,2011.0,0,0,0,49,0,1,1
Puma concolor,4.135643,-72.695397,2011.0,0,0,0,35,0,0,1
Puma concolor,4.141169,-72.239896,2011.0,0,0,0,41,0,0,1
Panthera onca,4.032437,-72.936596,2011.0,0,0,0,63,0,1,1
Puma concolor,3.753132,-72.454877,2011.0,0,0,0,24,0,0,1
Puma concolor,3.901279,-72.5722,2011.0,0,0,0,50,0,0,1
Puma concolor,3.86043,-72.761695,2011.0,0,0,0,51,0,0,1
Panthera onca,3.858002,-72.504239,2011.0,0,0,0,48,0,1,1
Puma concolor,3.770982,-72.489078,2011.0,0,0,0,21,0,0,1
Puma concolor,4.025083,-72.885802,2011.0,0,0,0,57,0,0,1
Puma concolor,3.753872,-72.430061,2011.0,0,0,0,27,0,0,1
Puma concolor,3.824689,-72.542453,2011.0,0,0,0,49,0,0,1
Puma concolor,4.055913,-72.946071,2011.0,0,0,0,56,0,0,1
Puma concolor,3.776775,-72.495017,2011.0,0,0,0,25,0,0,1
Puma concolor,3.802852,-72.672365,2011.0,0,0,0,20,0,0,1
Puma concolor,3.828699,-72.720595,2011.0,0,0,0,32,0,0,1
Panthera onca,3.820359,-72.977099,2011.0,0,0,0,52,0,1,1
Panthera onca,4.578634,-71.646235,2011.0,0,0,0,85,0,1,1
Puma concolor,4.592994,-71.621656,2011.0,0,0,0,84,0,0,1
Puma concolor,4.610093,-71.498947,2011.0,0,0,0,71,0,0,1
Puma concolor,3.563484,-71.752629,2011.0,0,0,0,1,0,0,1
Panthera onca,3.686575,-72.282084,2011.0,0,0,0,11,0,1,1
Panthera onca,3.563484,-71.752629,2011.0,0,0,0,1,0,1,1
Panthera onca,3.485469,-71.373363,2011.0,0,0,0,77,0,1,1
Puma concolor,3.606216,-73.88747,2011.0,0,0,0,99,0,0,1
Panthera onca,4.606237,-71.620804,2011.0,0,0,0,83,0,1,1
Panthera onca,3.619492,-73.892549,2011.0,0,0,0,99,0,1,1
Puma concolor,4.610093,-71.498947,2011.0,0,0,0,71,0,0,1
Panthera onca,3.563484,-71.752629,2011.0,0,0,0,1,0,1,1
Puma concolor,4.517226,-71.388946,2011.0,0,0,0,66,0,0,1
Panthera onca,3.608438,-73.884262,2011.0,0,0,0,99,0,1,1
Puma concolor,4.535381,-71.499409,2011.0,0,0,0,69,0,0,1
