species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory
Puma concolor,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,LC
Puma concolor,4.029,-71.946,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Gabanes, Hacienda Gabanes",PRESENT,LC
Puma concolor,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,LC
Panthera onca,3.69696,-73.153653,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas del Camoa, Hacienda Santa Teresa",PRESENT,NT
Puma concolor,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,LC
Puma concolor,4.076992,-72.820701,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Finca Omar Hernandez",PRESENT,LC
Puma concolor,3.624423,-73.149157,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Consuelo, Hacienda Nazareth",PRESENT,LC
Puma concolor,3.934555,-72.337708,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Murujuy",PRESENT,LC
Puma concolor,3.810341,-72.608264,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Santa Rita",PRESENT,LC
Puma concolor,4.163745,-72.358803,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda Cachicamo",PRESENT,LC
Puma concolor,4.167199,-73.69354,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Buenavista, Hacienda Rosalinda",PRESENT,LC
Panthera onca,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,NT
Puma concolor,3.977191,-72.693092,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yucao, Hacienda Almagro",PRESENT,LC
Panthera onca,3.570986,-73.457907,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Novilla, Hacienda Pampas",PRESENT,NT
Puma concolor,3.561544,-72.672695,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hacienda El Diamante",PRESENT,LC
Panthera onca,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,NT
Puma concolor,3.536348,-73.425311,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Rey Zamuro",PRESENT,LC
Puma concolor,3.91304,-72.661679,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda La Esmeralda",PRESENT,LC
Puma concolor,4.15,-73.6,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda Santa Maria Alta,PRESENT,LC
Puma concolor,3.27006,-72.903524,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas de Manacacias, Finca Tailandia",PRESENT,LC
